 ,Folio,datenpunkt_id,typ,name,rolle,anmerkung
UAKUG/NIM_022,1_1,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_022,1_1,,person,"Wagner, Wieland",vertragspartner:in,
UAKUG/NIM_022,1_1,,person,"Wagner, Wolfgang",vertragspartner:in,
UAKUG/NIM_022,1_1,1,Datum,1952-06-22/1952-08-25,Spielzeit,
UAKUG/NIM_022,1_1,1.1,Datum,1952-07-30,Aufführung,
UAKUG/NIM_022,1_1,1.1,Datum,1952-08-03,Aufführung,
UAKUG/NIM_022,1_1,1.1,Datum,1952-08-06,Aufführung,
UAKUG/NIM_022,1_1,1.1,Datum,1952-08-09,Aufführung,
UAKUG/NIM_022,1_1,1.1,Datum,1952-08-17,Aufführung,
UAKUG/NIM_022,1_1,1.1,Datum,1952-08-21,Aufführung,
UAKUG/NIM_022,1_1,1.1,Datum,1952-08-24,Aufführung,
UAKUG/NIM_022,1_1,1.2,Datum,1952-07-23,Aufführung,
UAKUG/NIM_022,1_1,1.2,Datum,1952-08-02,Aufführung,
UAKUG/NIM_022,1_1,1.2,Datum,1952-08-07,Aufführung,
UAKUG/NIM_022,1_1,1.2,Datum,1952-08-20,Aufführung,
UAKUG/NIM_022,1_1,1.2,Datum,1952-08-25,Aufführung,
UAKUG/NIM_022,1_1,1.3,Datum,1952-07-24,Aufführung,
UAKUG/NIM_022,1_1,1.3,Datum,1952-08-12,Aufführung,
UAKUG/NIM_022,1_1,1,Aktivität,Bayreuther Festspiele,,
UAKUG/NIM_022,1_1,1,institution,Bayreuther Festspiele,veranstalter:in,
UAKUG/NIM_022,1_1,1.1,werk,Die Meistersinger von Nürnberg,Aufführung,
UAKUG/NIM_022,1_1,1.2,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_022,1_1,1.3,werk,Das Rheingold,Aufführung,
UAKUG/NIM_022,1_1,1.1,rolle,Magdalena,Aufführung,
UAKUG/NIM_022,1_1,1.2,rolle,Brangäne,Aufführung,
UAKUG/NIM_022,1_1,1.3,rolle,Fricka,Aufführung,
UAKUG/NIM_022,1_1,1.1,einnahmen_währung,"600, DM",abendgage,
UAKUG/NIM_022,1_1,1.2,einnahmen_währung,"800, DM",abendgage,
UAKUG/NIM_022,1_1,1.3,einnahmen_währung,"700, DM",abendgage,
UAKUG/NIM_022,1_1,1,einnahmen_währung,"9600, DM",Gesamtvergütung,
UAKUG/NIM_022,1_3,,person,"Wagner, Wolfgang",unterzeichner:in,
UAKUG/NIM_022,1_3,,person,"Wagner, Wieland",unterzeichner:in,
