 ,Folio,data_id,typ,name,rolle,anmerkung
UAKUG/NIM_139,104,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,104,,person,"Windgassen, Wolfgang",sänger:in,
UAKUG/NIM_139,104,,person,"Rohr, Otto von",sänger:in,
UAKUG/NIM_139,104,,person,"Nilsson, Birgit",sänger:in,
UAKUG/NIM_139,104,,person,"Neidlinger, Gustav",sänger:in,
UAKUG/NIM_139,104,,person,"Szemere, László",sänger:in,
UAKUG/NIM_139,104,,person,"Malniuk, Ira",sänger:in,
UAKUG/NIM_139,104,,person,"Handt, Herbert",sänger:in,
UAKUG/NIM_139,104,,person,"Ferrein, Giuliano",sänger:in,
UAKUG/NIM_139,104,,person,"Leitner, Ferdinand",dirigent:in,
UAKUG/NIM_139,104,,Datum,1956-01-20,Aufführung,
UAKUG/NIM_139,104,,ort,Turin,auffuehrungsort,
UAKUG/NIM_139,104,,institution,Radio Audizioni Italia. Coro di Torino,auftritt,
UAKUG/NIM_139,104,,institution,Radiotelevisione italiana,auffuehrungsort,
UAKUG/NIM_139,104,,person,"Maghini, Ruggero",chorleiter:in,
UAKUG/NIM_139,104,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,104,,rolle,Tristan,auftritt,
UAKUG/NIM_139,104,,rolle,Isolde,auftritt,
UAKUG/NIM_139,104,,rolle,König Marke,auftritt,
UAKUG/NIM_139,104,,rolle,Kurwenal,auftritt,
UAKUG/NIM_139,104,,rolle,Melot,auftritt,
UAKUG/NIM_139,104,,rolle,Brangäne,auftritt,
UAKUG/NIM_139,104,,rolle,Ein Hirte,auftritt,
UAKUG/NIM_139,104,,rolle,Ein Steuermann,auftritt,
UAKUG/NIM_139,104,,rolle,Stimme eines jungen Seemanns,auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","Tristan, Wolfgang Windgassen",auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","Isolde, Birgit Nilsson",auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","König Marke, Otto von Rohr",auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","Kurwenal, Gustav Neidlinger",auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","Melot, László Szemere",auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","Brangäne, Ira Malaniuk",auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","Ein Hirte, Herbert Handt",auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","Ein Steuermann, Herbert Handt",auftritt,
UAKUG/NIM_139,104,,"Rolle, Person","Stimme eines jungen Seemanns, Giuliano Ferrein",auftritt,
UAKUG/NIM_139,109_2,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,109_2,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,109_2,,person,"Bondeville, Emanuel",erwähnt,
UAKUG/NIM_139,109_2,,Datum,1956-05-16,Aufführung,
UAKUG/NIM_139,109_2,,Datum,1956-5-13,Aufführung,
UAKUG/NIM_139,109_2,,Datum,1956-5-12,Aufführung,
UAKUG/NIM_139,109_2,,Datum,1956-5-11,Aufführung,
UAKUG/NIM_139,109_2,,person,"Hirsch, Georges",erwähnt,
UAKUG/NIM_139,109_2,,institution,Opéra Garnier,auffuehrungsort,
UAKUG/NIM_139,109_2,,ensemble,Opéra national de Paris. Orchestre,erwähnt,
UAKUG/NIM_139,109_2,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,109_2,,institution,Bayreuther Festspiele,erwähnt,
UAKUG/NIM_139,109_6,,person,"Malaniuk, Ira",abgebildet,
UAKUG/NIM_139,109_6,,person,"Suthaus, Ludwig",abgebildet,
UAKUG/NIM_139,109_12,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,109_12,,person,"Varnay, Astrid",sänger:in,
UAKUG/NIM_139,109_12,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_139,109_12,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,109_12,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,109_12,,rolle,Isolde,auftritt,
UAKUG/NIM_139,109_12,,rolle,Brangäne,auftritt,
UAKUG/NIM_139,109_12,,"Rolle, Person","Isolde, Astrid Varnay",auftritt,
UAKUG/NIM_139,109_12,,"Rolle, Person","Brangäne, Ira Malaniuk",auftritt,
UAKUG/NIM_139,109_14,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,109_14,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,109_14,,person,"Suthaus, Ludwig",sänger:in,
UAKUG/NIM_139,109_14,,person,"Weber, Ludwig",sänger:in,
UAKUG/NIM_139,109_14,,person,"Schöffler, Paul",sänger:in,
UAKUG/NIM_139,109_14,,person,"Massard, Robert",sänger:in,
UAKUG/NIM_139,109_14,,person,"Rialland, Louis",sänger:in,
UAKUG/NIM_139,109_14,,person,"Rouquetty, Camille",sänger:in,
UAKUG/NIM_139,109_14,,person,"Alvès, Georges",sänger:in,
UAKUG/NIM_139,109_14,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,109_14,,rolle,Tristan,auftritt,
UAKUG/NIM_139,109_14,,rolle,Isolde,auftritt,
UAKUG/NIM_139,109_14,,rolle,König Marke,auftritt,
UAKUG/NIM_139,109_14,,rolle,Kurwenal,auftritt,
UAKUG/NIM_139,109_14,,rolle,Melot,auftritt,
UAKUG/NIM_139,109_14,,rolle,Ein Hirte,auftritt,
UAKUG/NIM_139,109_14,,rolle,Ein Steuermann,auftritt,
UAKUG/NIM_139,109_14,,rolle,Stimme eines jungen Seemanns,auftritt,
UAKUG/NIM_139,109_14,,"Rolle, Person","Tristan, Ludwig Suthaus",auftritt,
UAKUG/NIM_139,109_14,,"Rolle, Person","König Marke, Ludwig Weber",auftritt,
UAKUG/NIM_139,109_14,,"Rolle, Person","Kurwenal, Paul Schöffler",auftritt,
UAKUG/NIM_139,109_14,,"Rolle, Person","Melot, Robert Massard",auftritt,
UAKUG/NIM_139,109_14,,"Rolle, Person","Ein Hirte, Camille Rouquetty",auftritt,
UAKUG/NIM_139,109_14,,"Rolle, Person","Ein Steuermann, Georges Alvès",auftritt,
UAKUG/NIM_139,109_14,,"Rolle, Person","Stimme eines jungen Seemanns, Louis Rialland",auftritt,
UAKUG/NIM_139,110,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_139,110,,Datum,1956,erwähnt,
UAKUG/NIM_139,110,,ort,Paris,erwähnt,
UAKUG/NIM_139,110,,ort,Zürich,zielort,
UAKUG/NIM_139,110,,ort,Wien,absendeort,
UAKUG/NIM_139,125,,person,"Varnay, Astrid",sänger:in,
UAKUG/NIM_139,125,,person,"Suthaus, Ludwig",sänger:in,
UAKUG/NIM_139,125,,person,"Malaniuk, Ira",sänger:in,
UAKUG/NIM_139,125,,person,"Schöffler, Paul",sänger:in,
UAKUG/NIM_139,125,,person,"Weber, Ludwig",sänger:in,
UAKUG/NIM_139,125,,person,"Knappertsbusch, Hans",dirigent:in,
UAKUG/NIM_139,125,,Datum,1956-05-13,erscheinungsdatum,
UAKUG/NIM_139,125,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_139,125,,institution,Le Temps de Paris,herausgeber:in,
UAKUG/NIM_139,125,,institution,Opéra Garnier,auffuehrungsort,
UAKUG/NIM_139,125,,ensemble,Opéra national de Paris. Orchestre,erwähnt,
UAKUG/NIM_139,125,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_139,125,,rolle,Isolde,auftritt,
UAKUG/NIM_139,125,,rolle,Tristan,auftritt,
UAKUG/NIM_139,125,,person,"Massard, Robert",sänger:in,
UAKUG/NIM_139,125,,"Rolle, Person","Isolde, Astrid Varnay",auftritt,
UAKUG/NIM_139,125,,"Rolle, Person","Tristan, Ludwig Suthaus",auftritt,
UAKUG/NIM_139,125,,rolle,Kurwenal,auftritt,
UAKUG/NIM_139,125,,rolle,König Marke,auftritt,
UAKUG/NIM_139,125,,"Rolle, Person","Kurwenal, Paul Schöffler",auftritt,
UAKUG/NIM_139,125,,"Rolle, Person","König Marke, Ludwig Weber",auftritt,
UAKUG/NIM_139,125,,"Rolle, Person","Fricka, Ira Malaniuk",erwähnt,
UAKUG/NIM_139,125,,person,"Flagstadt, Kirsten",erwähnt,
UAKUG/NIM_139,125,,werk,Salome,erwähnt,
UAKUG/NIM_139,125,,person,"Mozart, Wolfgang Amadeus",erwähnt,
UAKUG/NIM_139,125,,person,"Glotz, Michel",verfasser:in,
