Typ,Rollen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person,erwähnt,verfasser:in,adressat:in,vertragspartner:in,unterzeichner:in,abgebildet,arbeitgeber:in,veranstalter:in,vermittler:in,interpret:in,agent:in,inhaber:in,auftraggeber:in,empfänger:in,Komponist:in,regisseur:in,bühnenbildner:in,dirigent:in,sänger:in,herausgeber:in,chorleiter:in,librettist:in,übersetzer:in,arrangeur:in,ausstatter:in,Kostümbildner:in,Bühnenleiter:in,technische Leitung,choreograph:in
Datum,absendedatum,Reisedatum,empfangsdatum,ausstellungsdatum,Ausstrahlung,Spielzeit,Probenbeginn,erscheinungsdatum,Generalprobe,Erstelldatum,Lohnbestätigung,erwähnt,Aufführung,Auftragsdatum,Überweisungdatum,Unterschriftsdatum,Aufnahmedatum,,,,,,,,,,,,
ort,entstehungsort,zielort,auffuehrungsort,wohnort,vertragsort,abreiseort,absendeort,empfangsort,erwähnt,Lehrtätigkeit,,,,,,,,,,,,,,,,,,,
institution,fluggesellschaft,ausbildungsstätte,veranstalter:in,empfänger:in,Absender:in,auftritt,erwähnt,,,,,,,,,,,,,,,,,,,,,,
ereignis,rahmenveranstaltung,premiere,probe,gastspiel,Aufführung,,,,,,,,,,,,,,,,,,,,,,,,
werk,wiederaufnahme,Aufführung,Probe,Aufnahme,erwähnt,Ausstrahlung,,,,,,,,,,,,,,,,,,,,,,,
rolle,Aufführung,repertoire,erwähnt,,,,,,,,,,,,,,,,,,,,,,,,,,
einnahmen_währung,abendgage,provision,Gesamtvergütung,Reisekosten,Abspielhonorar,,,,,,,,,,,,,,,,,,,,,,,,
ausgaben_währung,erwähnt,provision,,,,,,,,,,,,,,,,,,,,,,,,,,,
summe_währung,summe,Gage,erwähnt,,,,,,,,,,,,,,,,,,,,,,,,,,
ensemble,Auftritt,erwähnt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktivität,Aufführung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aktivität,,,,,,,,,,,,,,,,,,,,,,,,
